blueWardsPlaced;blueFirstBlood;blueKills;blueDeaths;blueAssists;blueEliteMonsters;blueDragons;blueHeralds;blueTowersDestroyed;blueTotalGold;blueAvgLevel;blueTotalMinionsKilled;blueGoldDiff;redWardsPlaced;redFirstBlood;redKills;redDeaths;redAssists;redEliteMonsters;redDragons;redHeralds;redTowersDestroyed;redTotalGold;redAvgLevel;redTotalMinionsKilled;redGoldDiff;blueWins
28;1;9;6;11;0;0;0;0;17210;6.6;195;643;15;0;6;9;8;0;0;0;0;16567;6.8;197;-643;0
12;0;5;5;5;0;0;0;0;14712;6.6;174;-2908;12;1;5;5;2;2;1;1;1;17620;6.8;240;2908;0
15;0;7;11;4;1;1;0;0;16113;6.4;186;-1172;15;1;11;7;14;0;0;0;0;17285;6.8;203;1172;0
43;0;4;5;5;1;0;1;0;15157;7.0;201;-1321;15;1;5;4;10;0;0;0;0;16478;7.0;235;1321;0
75;0;6;6;6;0;0;0;0;16400;7.0;210;-1004;17;1;6;6;7;1;1;0;0;17404;7.0;225;1004;0
18;0;5;3;6;1;1;0;0;15899;7.0;225;698;36;1;3;5;2;0;0;0;0;15201;7.0;221;-698;1
18;1;7;6;7;1;1;0;0;16874;6.8;225;2411;57;0;6;7;9;0;0;0;0;14463;6.4;164;-2411;1
16;0;5;13;3;0;0;0;0;15305;6.4;209;-2615;15;1;13;5;11;1;1;0;0;17920;6.6;157;2615;0
16;0;7;7;8;0;0;0;0;16401;7.2;189;-1979;15;1;7;7;5;2;1;1;0;18380;7.2;240;1979;0
13;1;4;5;5;1;1;0;0;15057;6.8;220;-1548;16;0;5;4;4;0;0;0;0;16605;6.8;247;1548;1
20;1;4;4;6;0;0;0;0;15474;6.6;231;331;15;0;4;4;5;1;1;0;0;15143;7.2;216;-331;0
33;1;11;11;7;1;0;1;0;16695;7.0;157;-1505;17;0;11;11;9;0;0;0;0;18200;7.0;188;1505;0
18;1;7;1;11;1;1;0;0;17865;7.4;238;3274;12;0;1;7;1;0;0;0;0;14591;6.8;240;-3274;1
14;0;4;9;1;1;0;1;0;14979;6.6;210;-3414;20;1;9;4;11;0;0;0;0;18393;7.2;229;3414;0
15;1;4;4;4;0;0;0;0;15722;6.8;224;-470;102;0;4;4;3;0;0;0;0;16192;7.0;242;470;1
17;0;3;7;3;0;0;0;0;15015;6.8;209;-1996;18;1;7;3;13;0;0;0;0;17011;7.2;237;1996;0
14;1;10;2;8;0;0;0;0;19733;7.6;263;5228;13;0;2;10;2;1;1;0;0;14505;6.8;210;-5228;1
43;0;3;7;3;1;0;1;0;14852;6.8;203;-1975;17;1;7;3;6;0;0;0;0;16827;6.8;218;1975;0
21;1;5;4;11;0;0;0;0;16282;6.8;213;882;19;0;4;5;3;2;1;1;0;15400;6.6;228;-882;1
11;0;5;9;5;0;0;0;0;14994;7.0;188;-3155;15;1;9;5;9;0;0;0;0;18149;7.4;219;3155;0
14;1;11;6;15;1;1;0;0;18606;7.2;214;2526;12;0;6;11;4;0;0;0;0;16080;7.0;225;-2526;1
13;0;4;13;5;0;0;0;0;15878;6.8;203;-2835;15;1;13;4;14;1;1;0;0;18713;7.2;209;2835;0
17;0;4;6;3;0;0;0;0;15773;7.0;238;-1254;16;1;6;4;10;1;1;0;0;17027;7.0;231;1254;0
78;0;4;3;4;2;1;1;0;15906;6.8;238;406;15;1;3;4;3;0;0;0;0;15500;7.0;220;-406;0
33;0;6;9;10;0;0;0;0;16515;6.8;208;-1020;18;1;9;6;13;0;0;0;0;17535;6.6;197;1020;1
17;0;4;8;4;0;0;0;0;15415;6.2;204;-2472;19;1;8;4;13;1;1;0;0;17887;7.0;221;2472;0
18;0;8;6;9;1;1;0;0;17178;7.0;209;1260;10;1;6;8;3;0;0;0;0;15918;6.8;233;-1260;1
19;1;7;4;9;0;0;0;0;17226;7.0;228;1857;14;0;4;7;2;1;1;0;0;15369;6.6;202;-1857;0
105;1;8;6;13;1;1;0;0;17474;6.8;217;1320;65;0;6;8;11;0;0;0;0;16154;6.8;223;-1320;0
18;0;3;8;2;1;1;0;0;14905;6.8;233;-3282;18;1;8;3;12;0;0;0;0;18187;7.4;225;3282;0
22;1;9;4;10;1;1;0;0;18132;7.0;228;2883;21;0;4;9;2;0;0;0;0;15249;6.2;227;-2883;1
17;1;5;2;6;2;1;1;0;16053;6.8;218;1703;15;0;2;5;2;0;0;0;0;14350;6.4;206;-1703;1
12;0;6;4;7;0;0;0;0;16438;6.8;203;608;19;1;4;6;4;1;1;0;0;15830;6.8;206;-608;0
15;1;5;4;4;0;0;0;0;15634;6.8;201;71;14;0;4;5;4;1;1;0;0;15563;6.8;222;-71;0
40;0;6;4;4;0;0;0;0;16085;7.4;204;275;15;1;4;6;5;1;1;0;0;15810;7.2;223;-275;1
24;0;3;4;6;0;0;0;0;14981;6.8;235;-809;17;1;4;3;7;2;1;1;0;15790;6.8;218;809;0
12;0;2;8;2;1;1;0;0;15421;7.2;217;-2771;14;1;8;2;5;0;0;0;0;18192;7.4;234;2771;0
20;1;5;6;4;1;0;1;0;15665;6.8;203;-1730;40;0;6;5;6;1;1;0;0;17395;7.0;214;1730;0
